from_channel,Start,AFFILIATE|DESKTOP,AFFILIATE|MOBILE,DIRECT|DESKTOP,DIRECT|MOBILE,DISPLAY|DESKTOP,DISPLAY|MOBILE,EMAIL|DESKTOP,EMAIL|MOBILE,NATURAL SEARCH|DESKTOP,NATURAL SEARCH|MOBILE,OTHER,PAID SEARCH|DESKTOP,PAID SEARCH|MOBILE,REFERRAL ENGINE|DESKTOP,REFERRAL ENGINE|MOBILE,SOCIAL MEDIA|DESKTOP,SOCIAL MEDIA|MOBILE,LOSS,CONVERSION
Start,0.0,0.01483109994416527,0.0023779612347451544,0.3567157879343809,0.09717735502911383,0.008685956236207493,0.005050051846534258,0.04940708835181197,0.024499149185078832,0.27291716519103454,0.049367206402382284,0.07365863710084816,0.027144651830581477,0.007875023264470501,0.007863391029220176,0.0014407354231474835,0.0007245220813060009,0.00026421791497168384,0.0,0.0
AFFILIATE|DESKTOP,0.0,0.0,0.0016585666898094576,0.1390496027154208,0.01218853660418113,0.001967137236750752,0.0005399984571472653,0.04778986345753298,0.003317133379618915,0.1317981948623004,0.00663426675923783,0.09546401295996297,0.039844171873794645,0.0014657100979711486,0.013847103293990588,7.714263673532361e-05,0.0029314201959422972,7.714263673532361e-05,0.2647535292756306,0.2365964668672375
AFFILIATE|MOBILE,0.0,0.013455069678039404,0.0,0.026669870254685247,0.1134070158577607,0.0016818837097549255,0.0036040365209034117,0.007928880345987505,0.05838539163863527,0.03459875060067275,0.11604997597308986,0.08962037481979818,0.004084574723690533,0.029312830370014416,0.002162421912542047,0.011532916866890917,0.0,0.0019221528111484864,0.25925036040365207,0.22633349351273427
DIRECT|DESKTOP,0.0,0.016284667191844588,0.0005137610108325731,0.0,0.018454918249725217,0.003686624465610706,0.0009185424133067216,0.06333894837791637,0.003493574873661497,0.1517774574123259,0.006236747301197842,0.10042003854764432,0.03588854188397719,0.0011551838485993006,0.010281447622843371,0.00024286884148448908,0.0024691665550923055,0.00012143442074224454,0.36214235227814084,0.2225737247050545
DIRECT|MOBILE,0.0,0.0033476756246084965,0.006387282940203941,0.052998018093878684,0.0,0.001694375699571785,0.006531048151076699,0.00863618159599922,0.06818578572822213,0.039104137357390045,0.09645618755198652,0.08120680625584047,0.007342294698144402,0.03585915116911923,0.0023823949230342674,0.005699263716741459,0.00025672359084420986,0.0012938868978548176,0.4336164138795042,0.1490023721259794
DISPLAY|DESKTOP,0.0,0.008847497089639115,0.00046565774155995343,0.24435389988358555,0.011990686845168802,0.0,0.0020954598370197903,0.03434225844004657,0.0037252619324796275,0.09383003492433062,0.0033760186263096623,0.06228172293364377,0.021653084982537835,0.0011641443538998836,0.01071012805587893,0.00023282887077997672,0.0044237485448195574,0.00011641443538998836,0.29545983701979045,0.2009313154831199
DISPLAY|MOBILE,0.0,0.001960399921584003,0.005293079788276808,0.04606939815722407,0.27386786904528526,0.004508919819643208,0.0,0.005293079788276808,0.04312879827484807,0.024112919035483238,0.07704371691825132,0.04861791805528328,0.004312879827484807,0.01960399921584003,0.001372279945108802,0.0033326798666928055,0.00019603999215840032,0.005097039796118408,0.2650460693981572,0.17114291315428348
EMAIL|DESKTOP,0.0,0.020082770638205183,0.00046830755826617293,0.17106294924852974,0.013047266390764539,0.0030712263123502505,0.0005663254192986277,0.0,0.00571770856022653,0.11665214550206926,0.005554345458505772,0.06669570899586147,0.04891091265519495,0.0013831409279024178,0.011947288172511436,0.0001960357220649096,0.0032563711609671095,6.53452406883032e-05,0.3725658897843607,0.15875626225223263
EMAIL|MOBILE,0.0,0.002849756154885716,0.00993007814795229,0.033491979552265114,0.17941712204007285,0.0013220518244315177,0.00584640695693049,0.0158352429637464,0.0,0.030877254832833892,0.0865503261061167,0.06213643574828133,0.005552617662612375,0.036988072154650685,0.0017921146953405018,0.007374111287384688,0.00026441036488630354,0.0013514307538633292,0.42478994065456255,0.09363064809918327
NATURAL SEARCH|DESKTOP,0.0,0.01798314982663179,0.0003992031145446803,0.14038642861487924,0.012804915140823651,0.0021899142283593894,0.0005284688849686721,0.10050033457022933,0.002706977310055356,0.0,0.007717926881197153,0.07200103412616339,0.15762059735993675,0.0013724983271488534,0.05155803272705153,0.0002699373441206886,0.0021252813431473934,5.322708193929071e-05,0.23772355374414503,0.19205851937465782
